card_id,character_name,trait1_Background,trait1_value,trait2_Shoes,trait2_value,trait3_Wings,trait3_value,trait4_Stinger,trait4_value,trait5_Clothes,trait5_value,trait6_Eyes,trait6_value,trait7_Knees,trait7_value,trait8_Antennae,trait8_value
TBK#31,,Orange,3,Yellow Topped Leather,1,Dragonfly,5,Extra Long Pointy,5,None,1,Yellow Snake,1,"Blue, Orange, Red & Pink Bands",5,Samurai Blades,3
TBK#32,,Paint Honeycomb with Blue,4,Black Hobnail Boots,3,Little Black,2,Butt Cam,6,Black Zip Top,3,Green Dark,2,Pink & Blue Popsocks,4,Red Wings,7
TBK#33,,Dirty Street Puddle,7,Orange Work Boots,3,Black Eagle’s,3,Mini,1,"Black Lapels, White Shirt & Waistcoat with Red Tie",6,Blue Shiny,2,Cracked Lava Fire,7,Magic Wands,2
TBK#34,,White,1,Background Colour Leather,2,Bee’s,1,Pacifist,2,None,1,Yellow Snake,1,Black Knee Bands,1,Huge,1
TBK#35,,Brown,2,Orange Trainers,5,Black & Yellow Butterfly,4,Mini,1,Green Zip Top,4,Big Brown,1,Pink & Blue Popsocks,4,Red Wings,7
TBK#36,,Pink,2,Background Colour Leather,2,Black & Yellow Butterfly,4,Extra Long Pointy,5,Black Lapels & Tie with White Shirt,5,Blue Shiny,2,"Blue, Orange, Red & Pink Bands",5,Robo-Bee,2
TBK#37,,Cracked Painted Honeycomb,6,Blue Pumps,4,Bee’s,1,Pacifist,2,"Black Lapels, White Shirt & Waistcoat with Red Tie",6,Big Brown,1,Pink & Blue Popsocks,4,Red Wings,7
TBK#38,,Marble Honeycomb,6,Yellow Pumps,6,Metal with Lasers,8,Metal Dagger,5,White Top with V Neck,5,Yellow Snake,1,Black Knee Caps,2,Robo-Bee,2
TBK#39,,Green,2,Blue Pumps,4,Golden Dragon’s,7,Extra Long Pointy,5,Yellow Pocket Top,8,Green Dark,2,Pink & Blue Popsocks,4,Laser Ended,5
TBK#40,,Brown,2,Cosmic Rainbow Ballet,4,Black Eagle’s,3,Mini,1,Black Lapels & Tie with White Shirt,5,Big Brown,1,Pink & Blue Popsocks,4,Huge,1
TBK#41,,Dirty Street Puddle,7,Orange Work Boots,3,Bee’s,1,Vindaloo,9,Black Zip Top,3,Yellow Snake,1,Black Knee Bands,1,Samurai Blades,3
TBK#42,,Pink,2,Orange Trainers,5,Little Black,2,Mini,1,Black Zip Top,3,Red,4,Burning Flame,6,Samurai Blades,3
TBK#43,,Pink,2,Background Colour Leather,2,Black & Yellow Carbon,6,Extra Long Pointy,5,Black Lapels & Shirt Pin with White Shirt,5,Small Black,7,Happy,8,Red Wings,7
TBK#44,,Yellow,3,Yellow Topped Leather,1,Black & Yellow Carbon,6,Long Curly,4,"Black Lapels, White Shirt & Waistcoat with Red Tie",6,Yellow Snake,1,Happy,8,Magic Wands,2
TBK#45,,Dirty Street Puddle,7,Yellow Topped Leather,1,Little Black,2,Mini,1,"Black Lapels, White Shirt & Waistcoat with Red Tie",6,Honeypot,5,Black Knee Bands,1,Magic Wands,2
TBK#46,,White,1,Blue Pumps,4,Bee’s,1,Extra Long Pointy,5,Black Zip Top,3,Blue Shiny,2,Pink & Blue Popsocks,4,Laser Ended,5
TBK#47,,Blue & Yellow Honeycomb Mosaic,5,Yellow Pumps,6,Black & Yellow Carbon,6,Metal Dagger,5,Green Zip Top,4,Blue & Yellow Crescent Moon,3,"Blue, Orange, Red & Pink Bands",5,Huge,1
TBK#48,,Gullibee’s Travels,7,Background Colour Leather,2,Black Spiny Dragon’s,5,Mini,1,Sparkly Blue Top,9,Yellow Snake,1,Fire Band,3,Magic Wands,2
TBK#49,,Paint Honeycomb with Blue,4,Background Colour Leather,2,Amber Butterfly,4,Pacifist,2,None,1,Big Brown,1,Black Knee Bands,1,Magic Wands,2
TBK#50,,Green,2,Black Hobnail Boots,3,Black Eagle’s,3,Metal Dagger,5,None,1,Green Dark,2,Black Knee Bands,1,Black Shards with Stars,6
