card_id,deck,character_name,trait1_Background,trait1_value,trait2_Wearing & Holding,trait2_value,trait3_Head & Hat,trait3_value,trait4_Face,trait4_value,trait5_Eyes,trait5_value,xtra_name,xtra_value
AM#15,Couture,,Mosaic Birds Above Jungle,7,Police Uniform,5,Yellow Beanie,1,Tongue Out,2,"Black Sunnies, Blue Lens",3,One Gold Earring,1
AM#16,Couture,,Blue Sketch Kaleidoscope,6,A.Y.P.D. Officer’s Uniform,5,Small Black Beanie,1,Belch,2,Sincere Orange,3,None,0
AM#17,Couture,,Abstract Blue Banana Jungle,6,Yellow Linen Jacket & Black Shirt,4,Yellow Baseball Cap,1,Bloody Mouth,2,Yellow Tired,3,Gold Nose Tooth,1
AM#18,Couture,,White Bright Kaleidoscope,6,Linen Suit with Fire Shirt,4,Black Beanie,1,Tongue Out,2,Annoyed Red,3,Twinkle In His Eye,2
AM#19,Couture,,Oil Kaleidoscope Fire,6,Red with White Stripes,4,Red Baseball Cap,1,Laaaaaaa,2,"Black Sunnies, Pink Lens",3,None,0
AM#20,Couture,,White Dahlia with Flower Centre,5,Dark Splash Jacket & Medalions,4,Turquoise Cap,1,Bloody Mouth,2,"Black Sunnies, Dark Pink Lens",3,Gold Nose Tooth,1
AM#21,Couture,,Pink Tartan Too,5,Denim Jacket & Orange Shirt,4,Captain’s Hat,8,Wry Smile,1,Big Brown,3,Two Gold Earrings,2
AM#22,Couture,,Black & Yellow Banana Spirals,5,Hawaiian Jacket with Blue Shirt,4,Gold Crown,9,Clean Shaven,1,Classic Gold Aviators,2,One Gold Earring,1
AM#23,Couture,,Green Tartan Fabric,5,Green Jacket & Orange Hoodie,4,Tall Blonde Hair in Red Wrap,8,Wry Smile,1,Classic Light Bronze Aviators,2,Gold Ball Earring,3
AM#24,Couture,,Abstract Jungle Leaves,5,Yellow Mountain Jacket,3,Brown Dreads & Orange Wrap,7,Wry Smile,1,Classic Fire Lens Aviators,2,Large Gold Earring,2
AM#25,Couture,,Banana Spiral with Lilac Oils 2,5,White Mountain Jacket,3,Viking Helmet with Horns,7,Clean Shaven,1,Classic Pink Aviators,2,Gold Nose Tooth,1
AM#26,Couture,,Amber & Grey Wave Mosaic,4,Red Shirt & Gold Medalions,3,Black Afro & Orange Band,7,Wry Smile,1,Classic Orange Aviators,2,Gold Ball Earring,3
AM#27,Couture,,Vibrant Banana Lolipop Jungle,4,Blue Jacket with Fur Collar,3,Blue Trucker with ApeMods,6,Clean Shaven,1,Classic Brown Mirror Aviators,2,None,0
AM#28,Couture,,Mosaic Pieces,4,Blue Jacket with Thermal Control,3,Grey & Yellow Wizard’s Hat,6,Wry Smile,1,Classic Silver Aviators w Blk Lens,2,One Gold Earring,1
AM#29,Couture,,Mosaic Banana Market Town,4,Black Mountain Rescue Jacket,3,White Panama & Orange Sunnies,6,Clean Shaven,1,"Dark Orange, Looking Right",1,None,0
AM#30,Couture,,Painted Mosaic Banana Forest,4,Black Jacket & Orange Shirt,3,Red Pirate’s Hat,6,Wry Smile,1,Classic Bronze Mirror Aviators,2,Ear Cuffs In Both Ears,3
AM#31,Couture,,Chunky Oil Colours,4,Big Red Coat & Bead Necklaces,3,Black Trilby with Orange Band,5,Long Moustache & Beard,9,Classic Red Aviators,2,None,0
AM#32,Couture,,Painted Bananas & Jungle Flowers,4,White Monkey Business T-Shirt,2,White Panama with Orange Band,5,Moustache & Beard,8,Impatient Orange,1,Gold Nose Tooth,1
AM#33,Couture,,Bananas & Blue Leaves,3,Will Dance For Bananas Sign,2,Red Trilby,5,Moustache & Beard,8,Tired Orange,1,None,0
AM#34,Couture,,Yellow Banana Pixel Art,3,Two Bionic Arms,2,White Panama with Black Band,5,Black Pointy Beard,7,"Black, Looking Far Right",1,None,0
AM#35,Couture,,Banana Spiral & Dark Night Sky,3,Orange Taser Gun,2,Beige Trilby,5,Black Pointy Beard,7,Black with Red Pupils,1,One Gold Earring,1
AM#36,Couture,,Swirling Blues,3,Hyper-Alloy Combat Chassis,2,Rad Hair,5,Light Grey Beard,6,Doey Turquoise,1,Gold Nose Tooth,1
AM#37,Couture,,"Curled Spiral, Spattered Leaves",3,Orange Knife,2,Orange Headband,4,Black Pointy Beard,7,Orange ,1,One Gold Earring,1
AM#38,Couture,,Banana Spiral with Dark Leaves,3,Black XRP CommUnity T-Shirt,2,Brown Trilby,4,Short White Beard,6,Scornful Orange,1,Twinkle In His Eye,2
AM#39,Couture,,Mosaic Birds Above Palm Trees,3,Bionic Armour,2,White Panama ,4,Light Grey Beard,6,Bright Blue ,1,One Gold Earring,1
AM#40,Couture,,Banana Spiral & Yellow Flowers,3,One Bionic Arm,2,Red Beanie & Black Sunnies,4,Short White Beard,6,Squinty Orange,1,None,0
AM#41,Couture,,Cosmic Rainbow Waves,2,Fists Out!,1,Beige Trilby with Brown Band,4,One Square Tooth,5,Blue Laser Eyes,9,One Gold Earring,1
AM#42,Couture,,Abstract Coral Mosaic,2,Crossed Arms,1,Yellow Beanie & Black Sunnies,4,Sulky,5,Composed Closed,8,Gold Nose Tooth,1
AM#43,Couture,,Mosaic Swirling Bananas,2,Black Revolver,1,Brown Trilby with Yellow Band,4,One Square Tooth,5,Clear Spectacles,8,None,0
AM#44,Couture,,Light Abstract Banana Jungle,2,Grey Handgun,1,Black & Yellow Fleece Wrap,3,Sulky,5,Small Orange,7,Two Gold Earrings,2
AM#45,Couture,,Cracked Clay Wall,2,Hands Out,1,Yell/Grey Beanie w Black Pompom,3,One Square Tooth,5,Sad Black,7,None,0
AM#46,Couture,,Bright Rainbow Rectangle Mosaic,2,One Thumb Up,1,White Cap with Black Sunnies,3,Sulky,5,Squinty Tired Red,7,Twinkle In His Eye,2
AM#47,Couture,,Blue Block Watercolour,2,Peace Sign,1,White Beanie w White Pompom,3,Black Moustache,4,Round Gold Aviators,6,Large Gold Earring,2
AM#48,Couture,,Banana Wallpaper One,2,Phone And A Nice Cuppa,1,WhiteTrucker & Orange Sunnies,3,Clean Lip,4,"Red, Looking Up & Right",6,Twinkle In His Eye,2
AM#49,Couture,,Banana Wallpaper Two,2,Silver Handgun,1,Red Loose Knit Beanie,3,Snarl,4,Sunken Orange,6,Large Gold Earring,2
AM#50,Couture,,Abstract Eye Colours,1,Silver Revolver,1,Grey Beanie with Black Pompom,3,Black Moustache,4,Round Fire Aviators,6,Gold Nose Tooth,1
AMM#1,Mutants,,Blue Arrow Tunnel,4,Cracked Paint Chest,3,Bert: Cool Black Hair,2,Bert: White Moustache & Beard,8,Blue Crazy,5,Green & Red Slime,1
AMM#2,Mutants,,Bright White Arrow Tunnel,4,Chest Target,8,Brad: Bald,1,Brad: Bearded Scream,8,Pink Focused,5,None,0
AMM#3,Mutants,,Pink Arrow Tunnel,4,Lean with Scars,2,Charles: Blue Slick Hair,1,Charles: Dribble Yell,7,Spaced Out,5,None,0
AMM#4,Mutants,,"Twisted Beach, Pink Jungle",3,Skinny with Bloody Shoulder,2,Chris: Torn Yellow Cap,1,Chris: Scary Pink Shriek,7,Wired,5,Gold Nose Tooth,1
AMM#5,Mutants,,"Abstract Beach, Yellow Etching",3,Lean with Scars,0,David: Blue Cap,1,David: Belch,7,"White, Looking Right",5,Green & Red Slime,1
AMM#6,Mutants,,"Abstract Beach, Green Dream",3,Skinny with Bloody Shoulder,2,Jon: Torn Orange Cap,1,"Jon: Purple Goatee, Sad",6,Wired,5,Toxic Rainbow Slime,2
AMM#7,Mutants,,"Twisted Beach, Dark Day",3,Lean with Scars,2,Kyle: Greasy Black Hair,1,Kyle: Missing Teeth,6,Tired  ,4,None,0
AMM#8,Mutants,,Bananascape Purple Early,3,Skinny with Bloody Shoulder,2,Timothy: Short Green Hair,1,Timothy: Unsure,6,Sunken Orange,4,Green & Red Slime,1
AMM#9,Mutants,,"Twisted Beach, Country House",3,Lean with Scars,2,Bert: Short Black Quiff,1,"Bert: Purple Beard, Gold Teeth",6,Fresh Red,4,Green & Red Slime,1
AMM#10,Mutants,,Bananascape Purple Late,3,Skinny with Bloody Shoulder,2,Brad: Bald,1,Brad: Messy One Fang Mouth,5,Blue Tired,4,Twinkle In His Eye,2
AMM#11,Mutants,,"Abstract Beach, Country Farm",3,Weak & Shot,1,Charles: Bald Big Brain,8,"Charles: Pink Mouth, Blue Goatee",5,Fresh Red,4,Twinkle In His Eye,2
AMM#12,Mutants,,Green Maze,2,Weak & Shot,1,Chris: Moccy Cap,8,Chris: Blue Tache & Goatee,5,Tired,4,Mutated Extra Eye,2
AMM#13,Mutants,,Green Tigerskin,2,Lean with Scars,2,David: Pink A.M. Cap,7,David: Superb Teeth,5,"Small Green, Looking Up",3,Gold Ball Earring,3
AMM#14,Mutants,,Vibing Square Zag Tunnel,2,Weak & Shot,1,Jon: Light Brown Beret,7,"Jon: Purple Goatee, Sharp Teeth",5,Blue Focused,3,None,0
AMM#15,Mutants,,Happy Banana Tiles Too,2,Weak & Shot,1,Kyle: Messy White Hair,7,Kyle: Snarling,5,Bloodshot Orange,3,None,0
AMM#16,Mutants,,Vibing Square Zag Tunnel Too,2,Weak & Shot,1,Timothy: Red A.M. Cap,6,"Timothy: Black Beard, Bloody Mouth",4,Blue Focused,3,None,0
AMM#17,Mutants,,Green Mutated Bananas,2,Weak & Shot,1,Bert: Yellow Hat & Pink Goggles,6,Bert: Bloody Mouth,4,Bloodshot Orange,3,None,0
AMM#18,Mutants,,Banana Sunset Mosaic Tiles,2,Weak & Shot,1,Brad: Green Trucker with X,6,Brad: Pointy Chin,4,"Small Green, Looking Up",3,Mutated Extra Eye,2
AMM#19,Mutants,,Happy Banana Tiles   ,2,Weak & Shot,1,"Charles: Black Dreads, Purple Band",6,Charles: Snarl,4,Bloodshot Orange,3,Mutated Halo,3
AMM#20,Mutants,,Toxic Bubbles,2,Weak & Shot,1,"Chris: Red Goggles, Rad Hair",5,"Chris: Pink Mouth, Blue Beard",4,Blue Focused,3,Gold Nose Tooth,1
AMM#21,Mutants,,Zag Tunnel Green & Red,1,Toxic Burns,8,David: Green Helmet,5,David: Rotten Teeth,4,"Small Orange, Looking Up",2,Gold Ball Earring,3
AMM#22,Mutants,,Green Stripes,1,Ripped Body with Pipes,8,Jon: Blue Hair & Yellow Glasses,5,"Jon: Purple Goatee, Scream",4,Gloomy Grey,2,Green & Red Slime,1
AMM#23,Mutants,,"Zag Tunnel, Yellow & Pink",1,Strong with X Logo,7,Kyle: Pink Hair & Red Goggles,5,Kyle: Yellow Teeth Grin,4,"Small Orange, Looking Up",2,None,0
AMM#24,Mutants,,Twisted Sound Pipes,1,Chest Mods,7,Timothy: Short Yellow Mohawk,5,"Timothy: One Tooth, Bloody Mouth",3,Gloomy Grey,2,None,0
AMM#25,Mutants,,Zag Tunnel Blue,1,Lean with Tattoos,7,Bert: Red Headwrap,5,Bert: Pink Lips,3,"Small Orange, Looking Up",2,Toxic Rainbow Slime,2
AMM#26,Mutants,,Zag Tunnel Green & Pink,1,Torn Arm & Chest,6,Brad: Blue Hat & Golden Goggles,4,Brad: Ripped Mouth,3,Gloomy Grey,2,Green & Red Slime,1
AMM#27,Mutants,,Yellow Squares,1,Shiny Muscles,6,Charles: Purple Hair & Grey Shades,4,Charles: Laaaaa,3,"Small Orange, Looking Up",2,Mutated Extra Eye,2
AMM#28,Mutants,,Zag Tunnel Yellow,1,Pink & Lime Radiation,6,Chris: Yellow Headband,4,Chris: Blue Goatee & Bad Teeth,3,Gloomy Grey,2,Green & Red Slime,1
AMM#29,Mutants,,Zag Tunnel Green  ,1,Shiny Muscles,6,David: Small Grey Cap,4,David: Wide Jaw Dribble,3,Gloomy Grey,2,Green & Red Slime,1
AMM#30,Mutants,,Zag Tunnel Red,1,Melting Radiation Skin,5,Jon: Red & Blue Ape-Mod-X Cap,4,"Jon: Purple Goatee, Jagged Teeth",3,"Small Orange, Looking Up",2,Mutated Halo,3
AMM#31,Mutants,,Vibing Noise Thump,9,Lean with Big Red Welt,5,Kyle: Black Hair & Red Headband,4,Kyle: Teethy Grin,3,Orange ,1,Green & Red Slime,1
AMM#32,Mutants,,Green & Pink Circle Tunnel,8,Golden Blotches,5,Timothy: Short Yellow Dreads,4,Timothy: Tiny Mouth,2,Orange ,1,Gold Nose Tooth,1
AMM#33,Mutants,,Green & Pink Blur Tunnel,8,Lean with Big Red Welt,5,Bert: Yellow Headband,3,Bert: Purple Beard ,2,Orange ,1,Twinkle In His Eye,2
AMM#34,Mutants,,Red Dots,7,Golden Blotches,5,Brad: Mad Professor Hair,3,Brad: Short Black Goatee,2,Orange ,1,Twinkle In His Eye,2
AMM#35,Mutants,,3D Green Room,7,Melting Radiation Skin,5,Charles: Spiky Blue Hair,3,Charles: Sincere,2,Orange ,1,None,0
AMM#36,Mutants,,Illusory Squares,7,Strong with Arm Tattoo,4,Chris: Dude Hair,3,Chris: Wide Mouth with Tusk,2,Orange ,1,None,0
AMM#37,Mutants,,Toxic City,6,Glowing Skin with Purple Scars,4,David: Slimy Hair,3,David: Toxic Sad Face,2,Orange ,1,Mutated Extra Eye,2
AMM#38,Mutants,,Trippy Desert,6,Blue Ripped,4,Jon: Yellow Pompom Beanie,3,"Jon: Purple Goatee, Yellow Teeth",2,Orange ,1,Twinkle In His Eye,2
AMM#39,Mutants,,Happy Bright Desert,6,Strong with Arm Tattoo,4,Kyle: Red CommUnity Cap,3,Kyle: Contented,2,Orange ,1,Mutated Halo,3
AMM#40,Mutants,,Radioactive Power Plant,6,Glowing Skin with Purple Scars,4,Timothy: Short Dark Dreads,3,Timothy: Gold Teeth Grimace,8,Orange ,1,None,0
AMM#41,Mutants,,Zag Tunnel Lined White,5,Blue Ripped,4,Bert: Cool Black Hair,2,Bert: Pink Glum,1,XRP,9,Toxic Rainbow Slime,2
AMM#42,Mutants,,Under The Microscope,5,Strong with Arm Tattoo,4,Brad: Purple Thermo Hat,2,Brad: Sad Pout,1,Hypnotised,8,None,0
AMM#43,Mutants,,Cityscape Light Explosion,5,Melting Body & Shoulder Eye,3,Charles: Bald Little Brain,2,Charles: One Tooth Glum,1,Red Lava,8,Mutated Extra Eye,2
AMM#44,Mutants,,Red Sky Over Snowscape,5,Chest Target,3,Chris: Flat Hair,2,"Chris: Long Face, Purple Tooth",1,Neon Blank,7,Gold Nose Tooth,1
AMM#45,Mutants,,Green Skull Tiles,5,Cracked Paint Chest,3,David: Flat Dreads,2,David: Small Blooded Teeth,1,Closed,7,Twinkle In His Eye,2
AMM#46,Mutants,,Swirling Orange & Blue,5,Chest Target,3,Jon: Groovy Hair,2,"Jon: Purple Goatee, Two Teeth",1,Empty Yellow,7,Toxic Rainbow Slime,2
AMM#47,Mutants,,Green Circles,4,Cracked Paint Chest,3,Kyle: Red Headwrap,2,Kyle: Glum,1,Red Focused,6,Green & Red Slime,1
AMM#48,Mutants,,White Arrow Tunnel,4,Melting Body & Shoulder Eye,3,Timothy: Green Blocky Hair,2,Timothy: Sad & Broken,1,Purple,6,Toxic Rainbow Slime,2
AMM#49,Mutants,,Light Green Arrow Tunnel,4,Chest Target,3,Brad: Goat Horns,8,Brad: Dripping Grimace,6,Purple Iridescent,6,None,0
AMM#50,Mutants,,White Circles,4,S.E. Spider,9,S.E. Spider,9,S.E. Spider,9,Electric Blue,6,Gold Nose Tooth,1
amme#1,Mecha,,Burnt Smoke Clouds,1,S.E. Gorilla Armour,9,Small Yellow Cap,3,Steel Lips,4,Red Glowing Lights,5,None,0
amme#2,Mecha,,Charged Grey Clouds,1,Domestic Class Brain Tummy,8,Cool Spiky Brown Hair,2,Grimace,4,White Mech Lights,5,None,0
amme#3,Mecha,,Pink Tinged Electric Clouds,1,Combat Class Titanium Plates,8,Grey Steel Cap & Red Goggles,2,Steel Lips,4,Yellow Night Vision,5,High Voltage,1
amme#4,Mecha,,Smoke Clouds,1,Black Mech CommUnity Shirt,7,Spiky Hair & Red Ears,2,Solemn,3,Yellow Mech Lights,5,None,0
amme#5,Mecha,,Burnt Smoke Clouds,1,Combat Class Yellow A.M. Armour,7,Red Steel Cap & Fire Goggles,2,Wry Smile,3,Red Glowing Lights,5,Jagged Halo,3
amme#6,Mecha,,Charged Grey Clouds,1,Scout Class Colour L.C.D.,7,Tiny Red Skull Cap,2,Solemn,3,White Mech Lights,5,None,0
amme#7,Mecha,,Pink Tinged Electric Clouds,1,Black Mech T.B.K.Shirt,6,Cool Spiky Brown Hair,2,Wry Smile,3,Blank Red,4,None,0
amme#8,Mecha,,Smoke Clouds,1,Combat Class Titanium A.M. Logo,6,Spiky Hair & Red Ears,2,Solemn,3,Shiny Black,4,None,0
amme#9,Mecha,,Pink Tinged Electric Clouds,1,Combat Class Smooth White,6,Grey Steel Cap & Red Goggles,2,Wry Smile,3,Red 404 Error,4,High Voltage,1
amme#10,Mecha,,Burnt Smoke Clouds,1,Scout Class Light Yellow,6,Red Steel Cap & Fire Goggles,2,Solemn,3,Shiny Orange,4,Banana Plant,2
amme#11,Mecha,,Black Dot Vortex,9,Scout Class Yellow Beacon,5,Steel Cap Yellow Dot,1,Wry Smile,3,Red Lava,4,Banana Oil,2
amme#12,Mecha,,Yellow Landscape Vortex,8,Scout Class Blue H.U.D.,5,Steel Cap Yellow Dot,1,Wide Pout,2,Blank Red,4,Gold Bar,2
amme#13,Mecha,,Red Sky Blast,8,Scout Class Blue Beacon,5,Titanium Cap Yellow Dot,1,Pout,2,Shiny Black,4,Banana Oil,2
amme#14,Mecha,,Desert Cloud Squares,7,Combat Plate & Red Stripe,5,Steel Cap Yellow Dot,1,Wide Pout,2,Golden Mechanical,8,Banana ,1
amme#15,Mecha,,Vibing Paint Squares,7,Combat Class Yellow Armour,5,Steel Cap  ,1,Pout,2,Grey Mechanical,3,Gold Bar,2
amme#16,Mecha,,Dark Purple Cloud Squares,7,Combat Class Smooth Plate,5,Titanium Cap Yellow Dot,1,Wide Pout,2,Pink Dot Mechanical,3,Banana,1
amme#17,Mecha,,Swirling Skies,6,Scout Class Yellow Indicator,4,Steel Cap Yellow Dot,1,Pout,2,Red Mechanical,3,Banana Plant,2
amme#18,Mecha,,Hash Mutation,6,Scout Class Red Indicator,4,Titanium Cap Yellow Dot,1,Wide Pout,2,Golden Mechanical,3,Jagged Halo,3
amme#19,Mecha,,Light Ball Explosion,6,Scout Class Pink Indicator,4,Steel Cap Yellow Dot,1,Pout,2,Grey Mechanical,3,None,0
amme#20,Mecha,,Mainframe Power Tunnel,6,Scout Class Orange Indicator,4,Steel Cap,1,Wide Pout,2,Pink Dot Mechanical,3,Gold Bar,2
amme#21,Mecha,,Sepia Landscape Blast,5,Scout Class Orange Beacon,4,Giga-Brain Ultra,9,Under Bite,1,Red Mechanical,3,Banana,1
amme#22,Mecha,,Rainbow Landscape Blast,5,Engineer Class Orange Chest Box,4,A-M-X Officer’s Hat,8,Under Bite,1,Empty Mechanical,2,High Voltage,1
amme#23,Mecha,,Moving White Zags,5,Domestic Class Yellow H.U.D.,4,Black Afro  ,8,Under Bite,1,Yellow Mechanical,2,High Voltage,1
amme#24,Mecha,,Electric Cartoon Clouds,5,Scout Class Light Plate,3,Red & Cream Steel Panama,7,Under Bite,1,Yellow Thoughtful,2,Banana Oil,2
amme#25,Mecha,,Electric Blue Clouds,5,Combat Class Titanium Chest,3,Grey Hair,7,Under Bite,1,Empty Mechanical,2,High Voltage,1
amme#26,Mecha,,Electric Lines Cartoon Clouds,5,Combat Class Mid Plate,3,Yellow Mecha Ape-Mod-X Cap,7,Under Bite,1,Yellow Mechanical,2,Banana Plant,2
amme#27,Mecha,,Yellow & Blue Light Tunnel,4,Combat Class Light Plate,3,Red & Yellow Giga-Brain,6,Under Bite,1,Yellow Thoughtful,2,None,0
amme#28,Mecha,,Green & White Light Tunnel,4,Scout Class Light Plate,3,Grey Spikes & Yellow Visor,6,Under Bite,1,Empty Mechanical,2,None,0
amme#29,Mecha,,White Light Tunnel,4,Combat Class Titanium Chest,3,Giga-Brain Explorer,6,Under Bite,1,Yellow Mechanical,2,Golden Banana Trophy,3
amme#30,Mecha,,Rainbow Light Tunnel,4,Combat Class Mid Plate,3,Super Sharp Grey Spikes,6,Under Bite,1,Yellow Thoughtful,2,None,0
amme#31,Mecha,,Broken Mirror Tunnel,4,Combat Class Light Plate,3,Man Bun,5,White Tache & Goatee,9,Orange Thoughtful,1,Banana,1
amme#32,Mecha,,White & Blue Light Tunnel,4,Basic Blue Chest Box,2,Mecha Afro,5,Mecha Mouth,8,Orange ,1,Jagged Halo,3
amme#33,Mecha,,Beige Warp Speed,4,Basic Yellow Chest Box,2,Red Nightfinder Goggles,5,Scary Mouth,8,Orange Thoughtful,1,Golden Banana Trophy,3
amme#34,Mecha,,Red Sky Cloud Tunnel,3,Lightweight Smooth Plate,2,Steel Steampunk Hat,5,Gold Teeth,7,Orange ,1,Banana,1
amme#35,Mecha,,Red Cloud Tunnel,3,Basic Blue Chest Box,2,Red Nightfinder Light,5,Grey Beard,7,Orange Thoughtful ,1,Banana Plant,2
amme#36,Mecha,,Pink Cloud Tunnel,3,Basic Yellow Chest Box,2,Man Bun,5,Gold Teeth,7,Orange ,1,None,0
amme#37,Mecha,,Mecha Building Pink Tunnel,3,Lightweight Smooth Plate,2,Black Steel Top Hat,4,White Goatee,6,Orange Thoughtful,1,Banana Plant,2
amme#38,Mecha,,Mecha Building Electric Tunnel,3,Basic Blue Chest Box,2,Curvy Steel Cowboy Hat,4,Grinder Teeth,6,Orange ,1,Gold Bar,2
amme#39,Mecha,,Cracked Brown Tunnel,3,Basic Yellow Chest Box,2,Red Steel Cowboy Hat,4,White Goatee,6,Orange Thoughtful,1,Gold Bar,2
amme#40,Mecha,,Browns Tunnel,3,Lightweight Smooth Plate,2,Red Steel Top Hat,4,Grinder Teeth,6,Orange ,1,Banana,1
amme#41,Mecha,,All Blue Cloud Tunnel,3,Utility Ape Metal Pillar,1,Steel Cowboy Hat,4,Horsey Smile,5,High Definition,9,High Voltage,1
amme#42,Mecha,,Bright Dystopian Desert,2,Utility Ape Metal Pillar,1,Titanium Cowboy Hat,4,Toothy Yell,5,Yellow Focused,8,High Voltage,1
amme#43,Mecha,,Burning Town,2,Utility Ape Metal Pillar,1,Black Steel Top Hat,4,Horsey Smile,5,Red Neon,8,Banana Oil,2
amme#44,Mecha,,City Electro Storm,2,Utility Ape Metal Pillar,1,Grey Scout Cap,3,Toothy Yell,5,Yellow Rectangles,7,None,0
amme#45,Mecha,,Fiery Clouds,2,Utility Ape Metal Pillar,1,Small Yellow Cap,3,Horsey Smile,5,Orange Circles,7,Banana Oil,2
amme#46,Mecha,,Fiery Magma Clouds,2,Utility Ape Metal Pillar,1,Dark Hair & Red Goggles,3,Toothy Yell,5,Yellow Triangles,7,Banana,1
amme#47,Mecha,,Fiery Smoke Clouds,2,Utility Ape Metal Pillar,1,Orange Scout Cap with Beacon,3,Steel Lips,4,Red Bar,6,None,0
amme#48,Mecha,,Red Dystopian Desert,2,Utility Ape Metal Pillar,1,Red & White Echo Cap,3,Grimace,4,Blank Yellow,6,High Voltage,1
amme#49,Mecha,,Toxic Polluted Clouds,2,Utility Ape Metal Pillar,1,White Hair & Red Band,3,Steel Lips,4,Black Bar,6,Banana Plant,2
amme#50,Mecha,,Vibing Yellow Lanes,2,Utility Ape Metal Pillar,1,Orange Scout Cap with Beacon,3,Grimace,4,Blank Pink,6,None,0
