card_id,deck,character_name,trait1_name,trait1_value,trait2_name,trait2_value,trait3_name,trait3_value,trait4_name,trait4_value,trait5_name,trait5_value,xtra_name,xtra_value
amme#19,Mecha,,,0,,0,,0,,0,,0,,0
amme#20,Mecha,,,0,,0,,0,,0,,0,,0
amme#21,Mecha,,,0,,0,,0,,0,,0,,0
amme#22,Mecha,,,0,,0,,0,,0,,0,,0
amme#23,Mecha,,,0,,0,,0,,0,,0,,0
amme#24,Mecha,,,0,,0,,0,,0,,0,,0
amme#25,Mecha,,,0,,0,,0,,0,,0,,0
amme#26,Mecha,,,0,,0,,0,,0,,0,,0
amme#27,Mecha,,,0,,0,,0,,0,,0,,0
amme#28,Mecha,,,0,,0,,0,,0,,0,,0
amme#29,Mecha,,,0,,0,,0,,0,,0,,0
amme#30,Mecha,,,0,,0,,0,,0,,0,,0
amme#31,Mecha,,,0,,0,,0,,0,,0,,0
amme#32,Mecha,,,0,,0,,0,,0,,0,,0
amme#33,Mecha,,,0,,0,,0,,0,,0,,0
amme#34,Mecha,,,0,,0,,0,,0,,0,,0
amme#35,Mecha,,,0,,0,,0,,0,,0,,0
amme#36,Mecha,,,0,,0,,0,,0,,0,,0
amme#37,Mecha,,,0,,0,,0,,0,,0,,0
amme#38,Mecha,,,0,,0,,0,,0,,0,,0
amme#39,Mecha,,,0,,0,,0,,0,,0,,0
amme#40,Mecha,,,0,,0,,0,,0,,0,,0
amme#41,Mecha,,,0,,0,,0,,0,,0,,0
amme#42,Mecha,,,0,,0,,0,,0,,0,,0
amme#43,Mecha,,,0,,0,,0,,0,,0,,0
amme#44,Mecha,,,0,,0,,0,,0,,0,,0
amme#45,Mecha,,,0,,0,,0,,0,,0,,0
amme#46,Mecha,,,0,,0,,0,,0,,0,,0
amme#47,Mecha,,,0,,0,,0,,0,,0,,0
amme#48,Mecha,,,0,,0,,0,,0,,0,,0
amme#49,Mecha,,,0,,0,,0,,0,,0,,0
amme#50,Mecha,,,0,,0,,0,,0,,0,,0
